id,year,downloads,title,author,lang,subject
53834,1960,388,"James Oliver Curwood, Disciple of the Wilds","Swiggett, Hobart Donald",en,lit
54230,1894,388,The Gates Ajar,"Phelps, Elizabeth Stuart",en,lit
55270,1878,388,The Ways of Life: Two Stories,"Oliphant, Mrs. (Margaret)",en,lit
55480,1867,388,"Granada, Poema Oriental, precedido de la Leyenda de al-Hamar, Tomo 1","Zorrilla, José",es,lit
55704,1923,388,Wilderness Babies,"Schwartz, Julia Augusta",en,sci
55763,1906,388,The Boy Fortune Hunters in the South Seas,"Baum, L. Frank (Lyman Frank)",en,lit
56651,1915,388,Primus Annus,"Paine, W. L. (Walter Lionel)",en,lit
5685,1918,388,The Conservation of Races,"Du Bois, W. E. B. (William Edward Burghardt)",en,hist
57296,1880,388,Under Lock and Key: A Story. Volume 3 (of 3),"Speight, T. W. (Thomas Wilkinson)",en,lit
57686,1900,388,Index of the Project Gutenberg Works of Robert Barr,"Barr, Robert",en,lit
58091,1925,388,The Honorable Miss Moonlight,"Watanna, Onoto",en,lit
58561,1962,388,"Rocky Mountain National Park, Colorado","Alberts, Edwin C. (Edwin Cameron)",en,sci
5859,1881,388,"Personal Memoirs of P. H. Sheridan, Volume 2, Part 6","Sheridan, Philip Henry",en,hist
58630,1927,388,Pyhä sontiainen: Kuvaus porttola-elämästä,"Jerusalem, Else",fi,lit
58752,1920,388,The Ivory Workers of the Middle Ages,"Cust, Anna Maria Elizabeth",en,arts
5896,1916,388,Her Weight in Gold,"McCutcheon, George Barr",en,lit
59096,1927,388,The Seven Streams,"Deeping, Warwick",en,lit
59223,1900,388,"Flower and Jewel; or, Daisy Forrest's Daughter","Miller, Alex. McVeigh, Mrs.",en,lit
59677,1816,388,The Costume of China Picturesque Representations of the Dress and Manners of the Chinese,"Alexander, William",en,hist
59962,1897,388,"Reminiscences of a Raconteur, Between the '40s and the '20s","Ham, George H. (George Henry)",en,hist
6005,1902,388,Celibates,"Moore, George",en,lit
60780,1919,388,"Silas X. Floyd's Short Stories for Colored People Both Old and Young Entertaining, Uplifting, Interesting","Floyd, Silas Xavier",en,lit
6083,1927,388,"The Boy Allies with Haig in Flanders; Or, the Fighting Canadians of Vimy Ridge","Hayes, Clair W. (Clair Wallace)",en,lit
60916,1919,388,Dostoïevsky (Articles et Causeries),"Gide, André",fr,lit
61300,1899,388,Christmas Stories,"Riis, Jacob A. (Jacob August)",en,lit
62332,1875,388,The Last Ninety Days of the War in North-Carolina,"Spencer, Cornelia Phillips",en,hist
62898,1920,388,"With Sam Houston in Texas A Boy Volunteer in the Texas Struggles for Independence, When in the Years 1835-1836 the Texas","Sabin, Edwin L. (Edwin Legrand)",en,lit
63159,1958,388,Treasure of the Brasada,"Savage, Les",en,lit
63163,1904,388,Studies in the Wagnerian Drama,"Krehbiel, Henry Edward",en,arts
63182,1906,388,Pat the Lighthouse Boy,"Everett-Green, Evelyn",en,lit
63559,1907,388,A Sack of Shakings,"Bullen, Frank Thomas",en,lit
63981,1964,388,Grim Green World,"Aycock, Roger D.",en,lit
